zipcode,state,population,is_sud_rehab_clinic_per_100k,is_sud_rehab_clinic_per_100k_capped_viz
99503,AK,13550.0,22.140221402214024,22.140221402214024
33315,FL,13555.0,22.132054592401328,22.132054592401328
90048,CA,22604.0,22.119978764820388,22.119978764820388
33444,FL,22671.0,22.054607207445635,22.054607207445635
85021,AZ,40943.0,21.98177954717534,21.98177954717534
85390,AZ,9102.0,21.973192704900022,21.973192704900022
93706,CA,40965.0,21.96997436836324,21.96997436836324
21502,MD,41153.0,21.86960853400724,21.86960853400724
44515,OH,27480.0,21.83406113537118,21.83406113537118
66101,KS,13785.0,21.762785636561482,21.762785636561482
68434,NE,9209.0,21.71788467803236,21.71788467803236
33406,FL,27663.0,21.689621516104545,21.689621516104545
79106,TX,27692.0,21.666907410082334,21.666907410082334
59711,MT,9234.0,21.659085986571366,21.659085986571366
93212,CA,23138.0,21.60947359322327,21.60947359322327
82930,WY,13894.0,21.59205412408234,21.59205412408234
80014,CO,41711.0,21.57704202728297,21.57704202728297
30342,GA,32494.0,21.542438604049977,21.542438604049977
91367,CA,46498.0,21.506301346294464,21.506301346294464
55439,MN,9309.0,21.484584810398538,21.484584810398538
80111,CO,32672.0,21.42507345739471,21.42507345739471
44112,OH,18685.0,21.407546160021408,21.407546160021408
23605,VA,14053.0,21.34775492777343,21.34775492777343
95661,CA,32847.0,21.3109264164155,21.3109264164155
07724,NJ,23494.0,21.282029454328764,21.282029454328764
94609,CA,23578.0,21.206209178047335,21.206209178047335
62703,IL,28344.0,21.168501270110074,21.168501270110074
94103,CA,37843.0,21.139973046534365,21.139973046534365
97214,OR,28403.0,21.124529099038835,21.124529099038835
92627,CA,61764.0,21.04785959458584,21.04785959458584
95482,CA,33276.0,21.03618223344152,21.03618223344152
95817,CA,14270.0,21.02312543798178,21.02312543798178
85282,AZ,52351.0,21.01201505224351,21.01201505224351
07663,NJ,14294.0,20.987827060305023,20.987827060305023
91316,CA,28777.0,20.84998436251173,20.84998436251173
21234,MD,67308.0,20.79990491472039,20.79990491472039
85007,AZ,14442.0,20.77274615704196,20.77274615704196
15825,PA,9629.0,20.77058884619379,20.77058884619379
98520,WA,24086.0,20.758947106202772,20.758947106202772
77006,TX,24129.0,20.721952836835342,20.721952836835342
91311,CA,39014.0,20.505459578612808,20.505459578612808
33308,FL,29519.0,20.32589179850266,20.32589179850266
45505,OH,19708.0,20.296326364927946,20.296326364927946
99518,AK,9861.0,20.281918669506133,20.281918669506133
84123,UT,39489.0,20.258806249841726,20.258806249841726
08083,NJ,9888.0,20.22653721682848,20.22653721682848
89146,NV,19777.0,20.22551448652475,20.22551448652475
08609,NJ,14867.0,20.17891975516244,20.17891975516244
44044,OH,14911.0,20.119374958084634,20.119374958084634
66046,KS,19903.0,20.09747274280259,20.09747274280259
91411,CA,24984.0,20.012808197246237,20.012808197246237
44907,OH,15014.0,19.981350739309978,19.981350739309978
21804,MD,40049.0,19.975529975779672,19.975529975779672
63957,MO,5011.0,19.956096587507485,19.956096587507485
25951,WV,5024.0,19.904458598726116,19.904458598726116
45638,OH,20114.0,19.886646117132344,19.886646117132344
91325,CA,35250.0,19.858156028368793,19.858156028368793
07607,NJ,10080.0,19.841269841269842,19.841269841269842
50129,IA,5040.0,19.841269841269842,19.841269841269842
98249,WA,5056.0,19.778481012658226,19.778481012658226
21638,MD,5058.0,19.770660340055358,19.770660340055358
33062,FL,25293.0,19.76831534416637,19.76831534416637
66725,KS,5065.0,19.743336623889437,19.743336623889437
28103,NC,10164.0,19.67729240456513,19.67729240456513
93101,CA,30513.0,19.663749877101566,19.663749877101566
59427,MT,5091.0,19.642506383814574,19.642506383814574
93710,CA,30552.0,19.638648860958366,19.638648860958366
62353,IL,5093.0,19.6347928529354,19.6347928529354
94606,CA,40768.0,19.623233908948198,19.623233908948198
75692,TX,5098.0,19.61553550411926,19.61553550411926
20650,MD,15298.0,19.610406589096613,19.610406589096613
94925,CA,10204.0,19.60015680125441,19.60015680125441
07876,NJ,10218.0,19.573302016050107,19.573302016050107
98327,WA,10222.0,19.565642731363724,19.565642731363724
