zipcode,state,population,is_sud_rehab_clinic,is_sud_rehab_clinic_capped_viz
97266,OR,36095.0,3,3.0
31602,GA,35999.0,3,3.0
70068,LA,33213.0,3,3.0
84102,UT,18857.0,3,3.0
07950,NJ,21459.0,3,3.0
60613,IL,53048.0,3,3.0
19709,DE,49599.0,3,3.0
05855,VT,7388.0,3,3.0
06511,CT,55879.0,3,3.0
42001,KY,31579.0,3,3.0
60517,IL,33276.0,3,3.0
93308,CA,56037.0,3,3.0
20707,MD,37702.0,3,3.0
94608,CA,33073.0,3,3.0
18704,PA,31138.0,3,3.0
46260,IN,34188.0,3,3.0
37167,TN,61731.0,3,3.0
46410,IN,39471.0,3,3.0
