zipcode,state,population,is_multispecialty_clinic_per_100k,is_multispecialty_clinic_per_100k_capped_viz
55037,MN,5057.0,19.77456990310461,19.77456990310461
45612,OH,5059.0,19.766752322593398,19.766752322593398
90265,CA,15186.0,19.755037534571315,19.755037534571315
45714,OH,10149.0,19.706375012316485,19.706375012316485
92093,CA,5076.0,19.700551615445235,19.700551615445235
82070,WY,20308.0,19.696671262556627,19.696671262556627
48126,MI,55863.0,19.69102984086068,19.69102984086068
33026,FL,30510.0,19.66568338249754,19.66568338249754
99654,AK,40726.0,19.643471001325935,19.643471001325935
97403,OR,15275.0,19.639934533551553,19.639934533551553
75692,TX,5098.0,19.61553550411926,19.61553550411926
10459,NY,50984.0,19.61399654793661,19.61399654793661
59801,MT,30629.0,19.589278135100724,19.589278135100724
42724,KY,5107.0,19.580967299784607,19.580967299784607
23225,VA,40876.0,19.571386632742932,19.571386632742932
71301,LA,20454.0,19.55607705094358,19.55607705094358
34470,FL,20483.0,19.528389396084556,19.528389396084556
78620,TX,20493.0,19.518860098570244,19.518860098570244
12202,NY,10257.0,19.498878814468167,19.498878814468167
33493,FL,5129.0,19.496977968414896,19.496977968414896
37919,TN,30822.0,19.466614755693985,19.466614755693985
54986,WI,5138.0,19.46282600233554,19.46282600233554
31602,GA,35999.0,19.444984582905082,19.444984582905082
33136,FL,15439.0,19.43131031802578,19.43131031802578
85254,AZ,46352.0,19.416637901277184,19.416637901277184
87102,NM,20610.0,19.40805434255216,19.40805434255216
62269,IL,36068.0,19.40778529444383,19.40778529444383
33137,FL,25763.0,19.407677677289136,19.407677677289136
08628,NJ,10310.0,19.398642095053347,19.398642095053347
