zipcode,state,population,combined_all_facilities_per_100k,combined_all_facilities_per_100k_capped_viz
16511,PA,11347.0,8.812902088657795,8.812902088657795
48017,MI,11353.0,8.808244516867788,8.808244516867788
95953,CA,11357.0,8.805142203046579,8.805142203046579
23188,VA,45438.0,8.803204366389366,8.803204366389366
02343,MA,11364.0,8.79971840901091,8.79971840901091
78504,TX,56830.0,8.798169980644026,8.798169980644026
97338,OR,22741.0,8.7946880084429,8.7946880084429
62896,IL,11376.0,8.79043600562588,8.79043600562588
85741,AZ,34131.0,8.78966335589347,8.78966335589347
60008,IL,22760.0,8.787346221441126,8.787346221441126
13827,NY,11381.0,8.786574114752659,8.786574114752659
29169,SC,22768.0,8.784258608573436,8.784258608573436
77459,TX,79731.0,8.779521139832687,8.779521139832687
34488,FL,11392.0,8.77808988764045,8.77808988764045
95023,CA,56973.0,8.77608691836484,8.77608691836484
77089,TX,56994.0,8.772853282801698,8.772853282801698
43560,OH,34204.0,8.77090398783768,8.77090398783768
27944,NC,11406.0,8.76731544800982,8.76731544800982
39601,MS,22819.0,8.764625969586747,8.764625969586747
45801,OH,22819.0,8.764625969586747,8.764625969586747
48021,MI,34244.0,8.760658801541876,8.760658801541876
85303,AZ,34252.0,8.758612635758496,8.758612635758496
63090,MO,22843.0,8.755417414525237,8.755417414525237
78202,TX,11422.0,8.755034144633164,8.755034144633164
91791,CA,34267.0,8.754778650013131,8.754778650013131
46613,IN,11427.0,8.751203290452437,8.751203290452437
01862,MA,11430.0,8.748906386701663,8.748906386701663
30004,GA,68607.0,8.745463290917836,8.745463290917836
35768,AL,11436.0,8.744316194473592,8.744316194473592
91202,CA,22875.0,8.743169398907105,8.743169398907105
03104,NH,34324.0,8.740240065260458,8.740240065260458
80203,CO,22883.0,8.740112747454443,8.740112747454443
75460,TX,22925.0,8.724100327153762,8.724100327153762
97333,OR,22941.0,8.71801577960856,8.71801577960856
87020,NM,11471.0,8.71763577717723,8.71763577717723
35004,AL,11477.0,8.713078330574191,8.713078330574191
07866,NJ,22965.0,8.708904855214456,8.708904855214456
35756,AL,22978.0,8.703977717817043,8.703977717817043
23229,VA,34471.0,8.702967711989787,8.702967711989787
03038,NH,34482.0,8.700191404210893,8.700191404210893
98550,WA,11502.0,8.69414014953921,8.69414014953921
77096,TX,34510.0,8.693132425383947,8.693132425383947
32726,FL,23012.0,8.691117677733358,8.691117677733358
78723,TX,34522.0,8.690110654075662,8.690110654075662
29301,SC,34531.0,8.6878457038603,8.6878457038603
39581,MS,11512.0,8.686587908269631,8.686587908269631
80911,CO,34577.0,8.676287705700322,8.676287705700322
10604,NY,11526.0,8.676036786395974,8.676036786395974
85142,AZ,80734.0,8.670448633785023,8.670448633785023
60108,IL,23070.0,8.669267446900736,8.669267446900736
04043,ME,11536.0,8.668515950069349,8.668515950069349
55433,MN,34618.0,8.666011901323012,8.666011901323012
78624,TX,23080.0,8.665511265164644,8.665511265164644
22042,VA,34638.0,8.661008141347653,8.661008141347653
08010,NJ,11555.0,8.654262224145391,8.654262224145391
12020,NY,34667.0,8.653762944587072,8.653762944587072
71291,LA,34670.0,8.653014133256418,8.653014133256418
38663,MS,11561.0,8.6497707810743,8.6497707810743
53098,WI,11562.0,8.649022660439371,8.649022660439371
55420,MN,23128.0,8.647526807333103,8.647526807333103
29010,SC,11564.0,8.647526807333103,8.647526807333103
93614,CA,11574.0,8.640055296353896,8.640055296353896
19006,PA,23148.0,8.640055296353896,8.640055296353896
33323,FL,23149.0,8.639682059700203,8.639682059700203
13210,NY,23150.0,8.639308855291578,8.639308855291578
80104,CO,34727.0,8.63881129956518,8.63881129956518
87144,NM,46333.0,8.633155634213196,8.633155634213196
96761,HI,23167.0,8.632969309794104,8.632969309794104
10522,NY,11587.0,8.63036161215155,8.63036161215155
35805,AL,23189.0,8.624778990038381,8.624778990038381
06112,CT,23189.0,8.624778990038381,8.624778990038381
89408,NV,23201.0,8.620318089737511,8.620318089737511
95948,CA,11603.0,8.618460742911317,8.618460742911317
37862,TN,23236.0,8.607333448097778,8.607333448097778
15522,PA,11622.0,8.604371020478403,8.604371020478403
30068,GA,34870.0,8.603383997705764,8.603383997705764
50138,IA,11631.0,8.597713008339781,8.597713008339781
71106,LA,34906.0,8.594510972325674,8.594510972325674
34667,FL,34910.0,8.593526210254941,8.593526210254941
34119,FL,34933.0,8.587868204849283,8.587868204849283
87402,NM,11646.0,8.58663918942126,8.58663918942126
45247,OH,23293.0,8.586270553385136,8.586270553385136
17113,PA,11649.0,8.584427847883939,8.584427847883939
75063,TX,46598.0,8.58405940169106,8.58405940169106
10591,NY,23301.0,8.58332260418008,8.58332260418008
33543,FL,34953.0,8.582954252853833,8.582954252853833
35601,AL,34958.0,8.581726643400653,8.581726643400653
90042,CA,58295.0,8.577064928381509,8.577064928381509
18508,PA,11664.0,8.573388203017831,8.573388203017831
32805,FL,23331.0,8.572285800008572,8.572285800008572
01887,MA,23349.0,8.565677330934944,8.565677330934944
39667,MS,11693.0,8.552125203112974,8.552125203112974
32763,FL,23391.0,8.550297122825018,8.550297122825018
94109,CA,58501.0,8.546862446795782,8.546862446795782
17847,PA,11703.0,8.54481756814492,8.54481756814492
72143,AR,35111.0,8.544330836489989,8.544330836489989
36544,AL,11717.0,8.534607834769993,8.534607834769993
37334,TN,23435.0,8.534243652656283,8.534243652656283
38930,MS,23438.0,8.53315129277242,8.53315129277242
07458,NJ,11725.0,8.528784648187633,8.528784648187633
76426,TX,11727.0,8.527330092947897,8.527330092947897
77381,TX,35191.0,8.52490693643261,8.52490693643261
10466,NY,70420.0,8.520306731042318,8.520306731042318
64429,MO,11744.0,8.514986376021797,8.514986376021797
64133,MO,35259.0,8.508465923593976,8.508465923593976
76021,TX,35265.0,8.507018290089324,8.507018290089324
33980,FL,11762.0,8.501955449753442,8.501955449753442
03031,NH,11763.0,8.501232678738416,8.501232678738416
19145,PA,47079.0,8.496357186856136,8.496357186856136
83333,ID,11775.0,8.492569002123142,8.492569002123142
84116,UT,35327.0,8.492088204489484,8.492088204489484
25419,WV,11781.0,8.48824378236143,8.48824378236143
45694,OH,11783.0,8.486803021301876,8.486803021301876
95660,CA,35368.0,8.482243836236146,8.482243836236146
37415,TN,23580.0,8.481764206955047,8.481764206955047
81505,CO,11791.0,8.481044864727334,8.481044864727334
23875,VA,11791.0,8.481044864727334,8.481044864727334
77505,TX,23584.0,8.480325644504749,8.480325644504749
29205,SC,23586.0,8.479606546256255,8.479606546256255
78232,TX,35397.0,8.475294516484448,8.475294516484448
32904,FL,35399.0,8.474815672759117,8.474815672759117
92508,CA,35415.0,8.470986869970352,8.470986869970352
32607,FL,35420.0,8.46979107848673,8.46979107848673
50327,IA,11807.0,8.46955196070128,8.46955196070128
27537,NC,23635.0,8.462026655383964,8.462026655383964
49849,MI,11819.0,8.460952703274389,8.460952703274389
34103,FL,11822.0,8.45880561664693,8.45880561664693
79331,TX,11825.0,8.456659619450317,8.456659619450317
19601,PA,35477.0,8.456182879048397,8.456182879048397
06790,CT,35486.0,8.45403821225272,8.45403821225272
12401,NY,35493.0,8.452370890034654,8.452370890034654
95762,CA,47354.0,8.447016091565654,8.447016091565654
27403,NC,23679.0,8.44630263102327,8.44630263102327
31605,GA,23682.0,8.445232666159953,8.445232666159953
55409,MN,11843.0,8.443806467955755,8.443806467955755
17406,PA,23700.0,8.438818565400844,8.438818565400844
53188,WI,35552.0,8.438343834383438,8.438343834383438
02493,MA,11851.0,8.438106488903891,8.438106488903891
89179,NV,11852.0,8.437394532568343,8.437394532568343
91768,CA,35568.0,8.434547908232119,8.434547908232119
89060,NV,11857.0,8.433836552247618,8.433836552247618
10601,NY,11882.0,8.41609156707625,8.41609156707625
11766,NY,11888.0,8.411843876177658,8.411843876177658
47404,IN,23799.0,8.403714441783269,8.403714441783269
55412,MN,23800.0,8.403361344537815,8.403361344537815
54913,WI,23818.0,8.397010664203544,8.397010664203544
07016,NJ,23827.0,8.393838922231083,8.393838922231083
61611,IL,23837.0,8.390317573520157,8.390317573520157
03878,NH,11919.0,8.389965601141036,8.389965601141036
93610,CA,23859.0,8.382580996688882,8.382580996688882
11223,NY,83519.0,8.381326404770173,8.381326404770173
47670,IN,11934.0,8.379420144126026,8.379420144126026
74960,OK,11937.0,8.377314233056882,8.377314233056882
73026,OK,11940.0,8.375209380234507,8.375209380234507
11229,NY,83669.0,8.366300541419164,8.366300541419164
75006,TX,47811.0,8.366275543285019,8.366275543285019
48723,MI,11953.0,8.366100560528738,8.366100560528738
33183,FL,35891.0,8.35864144214427,8.35864144214427
35223,AL,11972.0,8.35282325425994,8.35282325425994
76084,TX,11979.0,8.347942232239753,8.347942232239753
97024,OR,11980.0,8.347245409015025,8.347245409015025
19153,PA,11985.0,8.343763037129746,8.343763037129746
77041,TX,35958.0,8.34306691139663,8.34306691139663
60661,IL,11987.0,8.342370901810295,8.342370901810295
32233,FL,23980.0,8.340283569641368,8.340283569641368
61350,IL,23997.0,8.334375130224611,8.334375130224611
64114,MO,24008.0,8.330556481172943,8.330556481172943
78336,TX,12009.0,8.327088017320342,8.327088017320342
10474,NY,12013.0,8.324315325064514,8.324315325064514
60409,IL,36045.0,8.322929671244278,8.322929671244278
60548,IL,12019.0,8.320159747067144,8.320159747067144
29588,SC,48113.0,8.313761353480349,8.313761353480349
55401,MN,12029.0,8.313242996092775,8.313242996092775
67357,KS,12033.0,8.310479514667996,8.310479514667996
64601,MO,12034.0,8.309788931361144,8.309788931361144
47303,IN,24069.0,8.30944368274544,8.30944368274544
28360,NC,12043.0,8.303578842481109,8.303578842481109
34110,FL,24093.0,8.301166313867098,8.301166313867098
45213,OH,12052.0,8.297378028542981,8.297378028542981
40165,KY,36161.0,8.296230745831144,8.296230745831144
08540,NJ,48216.0,8.296001327360212,8.296001327360212
80021,CO,36176.0,8.292790800530739,8.292790800530739
84050,UT,12059.0,8.292561572269674,8.292561572269674
22192,VA,60299.0,8.292011476143884,8.292011476143884
33772,FL,24121.0,8.29153020189876,8.29153020189876
95076,CA,84433.0,8.29059727831535,8.29059727831535
75149,TX,60317.0,8.28953694646617,8.28953694646617
77019,TX,24136.0,8.286377195889957,8.286377195889957
32207,FL,36207.0,8.285690612312537,8.285690612312537
64055,MO,36225.0,8.281573498964804,8.281573498964804
36093,AL,12081.0,8.277460475126231,8.277460475126231
30041,GA,72489.0,8.277117907544593,8.277117907544593
48609,MI,12082.0,8.276775368316503,8.276775368316503
90040,CA,12089.0,8.271982794275788,8.271982794275788
97123,OR,48369.0,8.269759556740889,8.269759556740889
17408,PA,24187.0,8.268904783561416,8.268904783561416
41005,KY,24192.0,8.267195767195767,8.267195767195767
37312,TN,36291.0,8.266512358435975,8.266512358435975
59044,MT,12099.0,8.265145879824779,8.265145879824779
21102,MD,12100.0,8.264462809917356,8.264462809917356
19464,PA,48409.0,8.262926315354584,8.262926315354584
45015,OH,12103.0,8.262414277451871,8.262414277451871
97222,OR,36316.0,8.260821676396079,8.260821676396079
53211,WI,36327.0,8.258320257659593,8.258320257659593
74953,OK,12113.0,8.25559316436886,8.25559316436886
74023,OK,12117.0,8.252867871585376,8.252867871585376
11755,NY,12118.0,8.25218682950982,8.25218682950982
19711,DE,48477.0,8.251335684964003,8.251335684964003
97527,OR,36358.0,8.251278948236976,8.251278948236976
64503,MO,12127.0,8.24606250515379,8.24606250515379
94588,CA,36398.0,8.242211110500577,8.242211110500577
07452,NJ,12133.0,8.241984669908513,8.241984669908513
44119,OH,12134.0,8.241305422778968,8.241305422778968
57006,SD,24271.0,8.240286761979316,8.240286761979316
92119,CA,24298.0,8.23113013416742,8.23113013416742
30331,GA,60770.0,8.227743952608195,8.227743952608195
72764,AR,60786.0,8.225578258151549,8.225578258151549
85326,AZ,72959.0,8.223796927041215,8.223796927041215
14605,NY,12172.0,8.21557673348669,8.21557673348669
60559,IL,24363.0,8.209169642490663,8.209169642490663
02021,MA,24370.0,8.206811653672549,8.206811653672549
32606,FL,24380.0,8.203445447087777,8.203445447087777
02122,MA,24385.0,8.201763379126513,8.201763379126513
