zipcode,state,population,is_multispecialty_clinic,is_multispecialty_clinic_capped_viz
91763,CA,37631.0,4,4.0
48071,MI,28468.0,4,4.0
14760,NY,18031.0,4,4.0
04401,ME,44608.0,4,4.0
21225,MD,34138.0,4,4.0
02446,MA,31957.0,4,4.0
02451,MA,17953.0,4,4.0
85719,AZ,46242.0,4,4.0
84759,UT,2064.0,4,4.0
46350,IN,44522.0,4,4.0
30022,GA,66667.0,4,4.0
28557,NC,14910.0,4,4.0
32204,FL,8673.0,4,4.0
15825,PA,9629.0,4,4.0
28704,NC,23734.0,4,4.0
89107,NV,37665.0,4,4.0
11377,NY,91512.0,4,4.0
77386,TX,66058.0,4,4.0
17331,PA,55458.0,4,4.0
12308,NY,15285.0,4,4.0
98683,WA,33884.0,4,4.0
11206,NY,91549.0,4,4.0
11205,NY,50474.0,4,4.0
80301,CO,25944.0,4,4.0
77027,TX,18987.0,4,4.0
44646,OH,47973.0,4,4.0
34470,FL,20483.0,4,4.0
44144,OH,21361.0,4,4.0
40504,KY,26042.0,4,4.0
45601,OH,56849.0,4,4.0
11236,NY,100687.0,4,4.0
11234,NY,92133.0,4,4.0
77002,TX,19844.0,4,4.0
83642,ID,55465.0,4,4.0
77004,TX,37005.0,4,4.0
95231,CA,4808.0,4,4.0
41101,KY,18559.0,4,4.0
97006,OR,46853.0,4,4.0
32405,FL,28158.0,4,4.0
55404,MN,29322.0,4,4.0
35226,AL,38471.0,4,4.0
46311,IN,22431.0,4,4.0
40741,KY,23327.0,4,4.0
34233,FL,18723.0,4,4.0
29615,SC,38684.0,4,4.0
28472,NC,17308.0,4,4.0
28205,NC,49600.0,4,4.0
28655,NC,55328.0,4,4.0
30305,GA,29173.0,4,4.0
60440,IL,52031.0,4,4.0
32547,FL,35466.0,4,4.0
77014,TX,35161.0,4,4.0
80012,CO,49897.0,4,4.0
70006,LA,16540.0,4,4.0
48162,MI,29156.0,4,4.0
12110,NY,19682.0,4,4.0
03801,NH,22767.0,4,4.0
19709,DE,49599.0,4,4.0
84660,UT,45959.0,4,4.0
85031,AZ,31162.0,4,4.0
80909,CO,37302.0,4,4.0
11201,NY,69703.0,4,4.0
58601,ND,29697.0,4,4.0
29588,SC,48113.0,4,4.0
33844,FL,43329.0,4,4.0
33971,FL,26333.0,4,4.0
29707,SC,32759.0,4,4.0
48322,MI,32188.0,4,4.0
44124,OH,40530.0,4,4.0
28374,NC,18818.0,4,4.0
30809,GA,51813.0,4,4.0
55432,MN,33022.0,4,4.0
48439,MI,51719.0,4,4.0
30342,GA,32494.0,4,4.0
41042,KY,54183.0,4,4.0
37923,TN,29705.0,4,4.0
28025,NC,58260.0,4,4.0
37909,TN,16066.0,4,4.0
11743,NY,41522.0,4,4.0
11691,NY,64673.0,4,4.0
85085,AZ,27875.0,4,4.0
11212,NY,91574.0,4,4.0
10801,NY,42949.0,4,4.0
80218,CO,19484.0,4,4.0
85017,AZ,45279.0,4,4.0
98374,WA,45367.0,4,4.0
89015,NV,41203.0,4,4.0
77040,TX,49524.0,4,4.0
70056,LA,41498.0,4,4.0
91505,CA,32371.0,4,4.0
32901,FL,26286.0,4,4.0
28203,NC,18572.0,4,4.0
62226,IL,29156.0,4,4.0
58103,ND,46754.0,4,4.0
30721,GA,53432.0,4,4.0
28052,NC,35332.0,4,4.0
33615,FL,47434.0,4,4.0
29646,SC,26783.0,4,4.0
23114,VA,21160.0,4,4.0
38133,TN,22482.0,4,4.0
37660,TN,39479.0,4,4.0
23226,VA,16955.0,4,4.0
29577,SC,34109.0,4,4.0
39401,MS,43183.0,4,4.0
30458,GA,48526.0,4,4.0
32301,FL,29686.0,4,4.0
35243,AL,21607.0,4,4.0
90025,CA,45466.0,4,4.0
95350,CA,55344.0,4,4.0
75069,TX,39084.0,4,4.0
92704,CA,82841.0,4,4.0
07104,NJ,54051.0,4,4.0
20707,MD,37702.0,4,4.0
85007,AZ,14442.0,4,4.0
97504,OR,49942.0,4,4.0
85364,AZ,73550.0,4,4.0
48105,MI,38883.0,4,4.0
59405,MT,33578.0,4,4.0
85302,AZ,41369.0,4,4.0
72032,AR,34316.0,4,4.0
84088,UT,37856.0,4,4.0
