zipcode,state,population,is_substance_abuse_rehab,is_substance_abuse_rehab_capped_viz
49017,MI,21377.0,4,4.0
81001,CO,31107.0,4,4.0
80525,CO,55901.0,4,4.0
91942,CA,40813.0,4,4.0
91763,CA,37631.0,4,4.0
07746,NJ,18337.0,4,4.0
44105,OH,34100.0,4,4.0
08302,NJ,47826.0,4,4.0
20009,DC,53357.0,4,4.0
44515,OH,27480.0,4,4.0
91350,CA,41514.0,4,4.0
06018,CT,2610.0,4,4.0
33901,FL,22629.0,4,4.0
23225,VA,40876.0,4,4.0
23236,VA,27516.0,4,4.0
62650,IL,24891.0,4,4.0
92625,CA,12017.0,4,4.0
84070,UT,30885.0,4,4.0
94118,CA,42356.0,4,4.0
92555,CA,43580.0,4,4.0
53704,WI,47066.0,4,4.0
28655,NC,55328.0,4,4.0
30339,GA,31490.0,4,4.0
40203,KY,16801.0,4,4.0
41653,KY,10937.0,4,4.0
33870,FL,24238.0,4,4.0
77018,TX,27870.0,4,4.0
56401,MN,30632.0,4,4.0
55744,MN,20096.0,4,4.0
43235,OH,45561.0,4,4.0
21921,MD,44983.0,4,4.0
92866,CA,15935.0,4,4.0
80301,CO,25944.0,4,4.0
21853,MD,10179.0,4,4.0
32541,FL,18419.0,4,4.0
60517,IL,33276.0,4,4.0
42501,KY,18047.0,4,4.0
91352,CA,47274.0,4,4.0
90027,CA,44471.0,4,4.0
30310,GA,27365.0,4,4.0
93701,CA,12037.0,4,4.0
80045,CO,1278.0,4,4.0
45638,OH,20114.0,4,4.0
43213,OH,35105.0,4,4.0
91390,CA,20128.0,4,4.0
56653,MN,1207.0,4,4.0
30071,GA,25629.0,4,4.0
25703,WV,4950.0,4,4.0
21222,MD,59062.0,4,4.0
55303,MN,51480.0,4,4.0
92507,CA,63191.0,4,4.0
95603,CA,28021.0,4,4.0
96002,CA,35158.0,4,4.0
38301,TN,34170.0,4,4.0
70615,LA,14949.0,4,4.0
87301,NM,22438.0,4,4.0
27707,NC,49787.0,4,4.0
55060,MN,29693.0,4,4.0
83201,ID,38921.0,4,4.0
08753,NJ,64369.0,4,4.0
56379,MN,17467.0,4,4.0
33413,FL,17503.0,4,4.0
87144,NM,46333.0,4,4.0
85040,AZ,33993.0,4,4.0
92270,CA,16999.0,4,4.0
92211,CA,26403.0,4,4.0
99503,AK,13550.0,4,4.0
34986,FL,30027.0,4,4.0
67209,KS,14217.0,4,4.0
92590,CA,4840.0,4,4.0
71360,LA,36026.0,4,4.0
40218,KY,33437.0,4,4.0
85259,AZ,22548.0,4,4.0
60433,IL,16526.0,4,4.0
33486,FL,22947.0,4,4.0
37209,TN,40498.0,4,4.0
87571,NM,11650.0,4,4.0
68901,NE,26269.0,4,4.0
34744,FL,59232.0,4,4.0
90250,CA,97653.0,4,4.0
92243,CA,49149.0,4,4.0
30501,GA,29779.0,4,4.0
42261,KY,10146.0,4,4.0
71270,LA,31513.0,4,4.0
88005,NM,26997.0,4,4.0
80223,CO,19862.0,4,4.0
20748,MD,39689.0,4,4.0
94117,CA,38451.0,4,4.0
92105,CA,66579.0,4,4.0
91722,CA,36111.0,4,4.0
33068,FL,53137.0,4,4.0
18704,PA,31138.0,4,4.0
19401,PA,43414.0,4,4.0
99709,AK,28613.0,4,4.0
83704,ID,42430.0,4,4.0
93304,CA,50837.0,4,4.0
60506,IL,52011.0,4,4.0
21787,MD,11066.0,4,4.0
62301,IL,31481.0,4,4.0
64804,MO,38078.0,4,4.0
91214,CA,31097.0,4,4.0
10029,NY,78141.0,4,4.0
40215,KY,21230.0,4,4.0
47374,IN,45304.0,4,4.0
80227,CO,35567.0,4,4.0
07601,NJ,46030.0,4,4.0
31792,GA,24374.0,4,4.0
37130,TN,59677.0,4,4.0
27406,NC,61597.0,4,4.0
85224,AZ,46919.0,4,4.0
70119,LA,38048.0,4,4.0
87110,NM,38441.0,4,4.0
44104,OH,20202.0,4,4.0
61701,IL,34497.0,4,4.0
61920,IL,20847.0,4,4.0
64109,MO,10290.0,4,4.0
29501,SC,46528.0,4,4.0
63303,MO,47292.0,4,4.0
56537,MN,19230.0,4,4.0
37027,TN,61370.0,4,4.0
44106,OH,26608.0,4,4.0
91711,CA,38122.0,4,4.0
91505,CA,32371.0,4,4.0
10460,NY,62625.0,4,4.0
10035,NY,35980.0,4,4.0
38671,MS,36073.0,4,4.0
02124,MA,50972.0,4,4.0
